DISTRICT,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
SRINAGAR,125.5,258.8,184.3,105
KARGIL,51.2,66.8,49.7,55.6
POONCH,263.1,327.1,760.5,123.4
RAJOURI,126,111.7,649.5,70
BANDIPORE,162,272.5,168.6,97.3
GANDERWAL,125.5,258.8,184.3,105
KULGAM/(ANT),146.5,369.6,268.9,93.9
SHOPAN,121.4,331.2,265.7,100.4
SAMBA,122.9,146,860.5,81.9
KISTWAR,281.2,441.4,441.4,171.5
REASI,194.5,168.1,1322.6,111.3
RAMBAN(DDA),335.3,409.5,400.6,183
BARMER,2.9,14.6,243.4,7.7
BIKANER,11.9,24.1,228.7,9.3
CHURU,13.6,27.6,313.7,14.7
SRI GANGANAGA,14,27.9,201.4,9.6
JAISALMER,4.6,12.6,158.4,5.6
JALORE,2.9,12.2,394.2,17.8
JODHPUR,6,19,274.5,8.6
NAGAUR,9.6,22.7,348.5,13.3
PALI,6.2,15.1,446.7,17.7
HANUMANGARH,16.1,23.6,252.5,9.4
AJMER,5.7,13.2,429.6,13.7
ALWAR,19.8,26.9,555.3,28.9
BANSWARA,3.3,7.7,831.8,40.2
BHARATPUR,18.2,20.3,557.6,25
BHILWARA,8.6,17.3,580.9,23.4
BUNDI,8.9,12.2,655.9,28.6
CHITTORGARH,5.8,16.1,709.7,33.7
DUNGARPUR,2.3,7.6,637.8,30.1
JAIPUR,14.2,21.3,524.6,17.1
JHALAWAR,9.1,11.8,855.1,44.2
JHUNJHUNU,16.8,32,410,22.2
KOTA,10,12.6,746.3,39
SAWAI MADHOPUR,13.7,15.6,664,27.7
SIKAR,15.5,28,402.5,17.8
SIROHI,5.6,16,868.6,23.2
TONK,10.3,15.8,566,21.8
UDAIPUR,4.8,14.7,591.3,28.9
DHOLPUR,18.1,18.1,650,35.9
BARAN,10.3,11,792.2,39.2
DAUSA,15.7,21.1,612.1,25.9
RAJSAMAND,6.2,18.6,506,23.7
KARAULI,16.8,15.8,637.4,26.2
PRATAPGARH(CHT,4.8,12.5,845.8,52.2
BETUL,16,21.6,918.5,72.7
VIDISHA,22.2,10.9,1005,46.7
BHIND,17.5,10.1,685.5,50.3
DATIA,17.6,15,775.8,51.8
DEWAS,11.5,11.3,949.8,58.8
DHAR,4.3,6.3,826.8,48.7
GUNA,19.2,17.6,943,48.5
GWALIOR,23.1,17.4,790.6,54.8
HOSHANGABAD,20.1,20.4,1289.1,62.6
INDORE,8.2,11.3,839.7,58.1
JHABUA,2.9,9.6,745.3,55
MANDSAUR,6.7,11.3,780,52.1
MORENA,19.2,14.4,708.2,35.2
KHANDWA,11.4,17.5,850.8,60.3
KHARGONE,7.8,10.6,758.5,50
RAISEN,19.6,14.6,1114.8,51.5
RAJGARH,14,11.8,890.2,50.7
RATLAM,6.6,9.2,871.3,60.7
SEHORE,15.8,12.4,1067.5,56.9
SHAJAPUR,13.5,12.4,873.9,49.6
SHIVPURI,19.8,12.8,779.8,47
UJJAIN,8.5,8.2,833.7,55.3
BHOPAL,18.8,18.7,998.6,51.6
HARDA,15.2,10.4,1042.3,60.4
NEEMUCH,7.3,12.1,747.4,47
SHEOPUR,13.1,13.3,727.4,38.1
BARWANI,3.7,10,635.4,52.1
